age,annual_income,credit_score,years_customer,prior_claims,region,high_risk
49,43627.63,758,12,0,1,0
38,70638.34,664,0,3,0,0
34,40374.59,808,7,0,0,0
32,26010.88,747,11,0,0,0
45,21984.96,683,14,1,0,1
42,54436.21,701,0,2,2,0
47,50833.6,669,5,0,0,0
41,37154.63,684,13,0,1,0
49,38803.73,676,13,1,2,0
41,59530.46,710,14,0,1,0
49,98250.26,819,20,0,2,0
50,33187.47,583,5,1,0,1
30,51249.0,771,9,0,1,0
18,79152.78,650,6,1,1,0
58,33254.42,781,0,0,2,0
43,48639.15,653,7,1,1,0
19,48098.3,713,0,0,1,0
31,25446.98,667,5,0,0,0
49,53329.74,541,0,0,1,0
36,49800.1,819,10,1,2,0
33,64701.66,604,4,2,0,1
56,27080.16,686,0,0,0,0
27,49265.79,595,12,1,0,1
30,97818.31,573,4,1,2,0
42,138517.22,663,5,1,0,1
44,92973.02,632,3,1,0,0
45,27213.39,586,13,1,2,1
50,61422.18,677,9,0,0,0
42,38500.51,561,4,0,1,0
45,56497.42,690,0,0,1,0
36,33319.29,669,20,0,1,0
40,20811.55,481,17,2,0,1
41,41263.82,638,15,0,0,0
42,70354.45,717,4,0,0,0
49,56613.34,594,5,2,0,1
46,59962.46,720,10,0,1,0
40,54621.08,714,3,0,0,0
30,60009.83,598,3,0,2,0
40,63879.63,679,15,1,1,0
39,42730.12,745,7,1,0,1
42,51095.17,609,2,0,1,0
66,117199.07,663,12,1,0,1
33,52628.63,772,5,0,0,0
45,50075.23,611,0,0,0,1
52,51608.53,716,2,0,0,0
41,43960.45,593,5,2,1,0
68,39431.57,667,9,2,0,0
35,54411.96,715,8,0,0,0
43,38068.5,487,14,3,1,1
30,45580.83,637,6,4,0,0
35,33015.84,714,5,1,0,0
42,51741.01,698,14,1,0,0
50,65650.3,638,12,0,1,0
43,44092.39,591,6,0,1,0
55,17958.36,730,9,0,0,0
38,65853.36,654,5,0,0,0
36,52056.86,723,2,0,1,0
72,29833.41,710,18,3,0,0
44,72159.56,644,5,0,0,0
31,24362.18,765,9,2,1,0
31,82677.59,632,0,1,1,0
28,47634.7,775,11,0,0,0
51,15765.31,785,1,1,1,0
35,53592.52,764,16,1,0,1
41,40010.76,665,16,0,0,0
39,37107.54,850,10,0,1,0
48,33898.88,692,8,0,0,0
29,45999.79,699,7,0,1,0
27,38461.22,678,7,3,0,1
42,19373.37,589,10,0,2,0
47,92599.03,783,8,0,1,0
43,43382.92,634,12,1,0,0
30,33997.17,753,3,0,0,0
48,27883.44,772,15,0,1,0
31,72068.05,728,5,2,2,0
33,25611.17,624,4,1,1,1
28,52417.39,652,9,1,1,0
55,36613.62,465,10,2,2,1
47,37695.28,670,0,0,0,0
47,28232.25,744,5,0,0,0
54,35948.42,660,0,2,2,0
73,49237.27,632,4,0,2,1
19,55141.4,656,4,0,0,0
31,33097.19,777,9,1,0,0
32,46841.87,675,4,0,0,0
29,76437.39,828,5,1,1,0
27,21347.41,634,14,1,1,0
36,48867.39,697,18,0,1,0
25,30473.36,645,3,1,2,0
44,28959.63,845,13,0,0,0
40,55854.52,694,9,0,2,0
45,37323.34,850,0,1,0,0
46,26678.1,646,4,2,0,0
47,95048.41,802,0,0,2,0
35,77656.05,689,9,1,2,0
65,18654.58,746,2,0,2,0
42,23453.76,582,8,0,1,0
18,65955.04,707,20,0,0,0
27,42512.91,594,15,1,0,0
19,103806.86,700,4,1,0,0
40,66713.87,558,2,1,0,1
38,56938.83,672,14,1,2,0
34,29409.37,767,2,0,1,0
64,62675.14,723,12,0,0,0
46,25903.1,581,21,2,1,0
48,94147.9,528,11,0,1,0
28,60540.59,719,13,0,0,0
28,32454.19,806,13,0,2,0
40,73301.67,602,5,1,1,1
42,150356.2,847,9,1,1,0
18,43966.86,679,3,2,0,0
37,64550.72,523,14,0,1,0
40,39501.16,555,2,0,0,0
37,51158.1,741,11,0,1,0
30,23072.18,690,13,0,0,1
33,49007.82,798,5,1,0,0
37,50100.62,584,4,1,0,0
41,120511.31,689,7,0,2,0
47,19980.23,680,3,0,0,0
52,42597.82,668,8,0,0,0
36,93345.1,649,3,0,1,0
34,43439.06,650,3,2,2,0
45,44996.02,693,10,0,1,0
47,32317.7,704,11,1,2,0
34,30751.6,700,6,0,1,0
49,19674.39,776,0,1,2,0
51,35788.88,583,13,0,0,1
55,29891.29,535,5,1,0,0
61,52001.06,761,18,1,0,0
29,33062.86,604,7,1,2,0
40,38569.01,649,8,0,2,0
40,39100.76,631,5,1,0,0
38,47854.36,629,9,1,1,1
32,37636.85,563,25,0,0,1
22,28828.13,634,6,1,2,0
41,51168.7,731,14,0,0,0
30,83595.22,679,8,2,1,1
41,52272.89,720,13,0,1,0
30,36137.62,640,0,1,0,1
26,46093.48,752,17,1,2,0
42,17582.93,639,9,1,0,0
41,45720.34,511,6,0,1,0
46,40127.73,705,12,1,0,0
66,30738.46,741,8,0,0,0
43,33656.14,635,2,0,0,0
45,39929.98,775,0,1,1,0
27,80517.44,611,17,1,1,1
24,84628.82,733,6,1,0,0
58,30820.56,819,4,1,2,0
28,37833.92,682,5,0,0,0
27,38319.15,661,15,1,1,0
39,73480.31,671,5,0,2,0
38,52720.16,810,11,0,1,0
29,51348.7,712,6,0,1,0
36,64095.62,850,1,1,0,0
54,36380.69,702,12,0,1,0
30,96949.29,627,13,0,1,0
23,48978.06,633,4,1,1,1
51,31953.72,684,7,1,1,0
45,43703.34,516,8,2,2,1
32,90759.11,642,10,0,1,1
21,39633.46,643,17,1,1,0
31,78808.72,699,6,1,2,0
39,35858.18,835,6,0,1,0
53,33428.64,684,7,1,0,0
27,68172.65,526,3,1,1,1
38,31666.47,606,0,0,1,0
48,73959.29,700,8,0,1,0
18,58443.34,687,10,1,0,0
52,31672.47,809,8,0,0,1
25,47300.62,756,7,0,1,0
43,37257.66,754,3,1,1,0
42,58365.97,662,9,1,2,0
53,125982.61,767,8,0,0,0
46,40727.05,608,10,0,0,0
18,64015.99,757,9,0,1,0
30,49623.53,657,9,2,2,0
41,49614.03,564,14,2,0,0
37,45134.29,727,10,0,0,0
45,31929.68,791,10,2,2,0
49,57963.57,647,0,1,0,1
47,42430.77,805,13,1,0,0
37,31182.11,547,6,2,2,1
18,81396.42,584,8,1,1,0
34,51508.64,668,1,0,0,0
44,43737.04,650,18,2,2,1
26,95800.99,626,0,0,1,0
47,19574.04,690,15,0,2,0
50,92633.9,637,10,0,0,0
41,31568.21,651,0,1,1,0
18,54489.66,702,18,0,0,0
24,36532.89,626,10,0,0,0
62,30899.63,671,0,1,1,0
33,94555.6,628,5,1,0,1
18,124008.86,583,10,0,0,0
54,43887.6,741,16,0,1,0
40,57973.27,816,5,1,0,0
53,50437.77,765,0,0,2,0
43,116454.21,706,15,1,1,0
45,17041.81,628,10,1,0,1
44,59193.19,657,0,0,1,0
48,34079.01,764,9,0,2,0
67,15093.48,497,10,2,1,1
51,40934.76,650,6,3,1,0
21,123503.45,738,3,2,0,0
45,35311.9,588,4,1,2,0
53,72793.56,713,6,0,0,0
54,89262.44,710,9,1,1,0
34,48710.58,563,11,0,0,0
53,52063.94,686,0,1,1,0
51,20782.18,630,9,1,1,0
70,34266.31,713,10,0,0,1
30,77149.77,733,8,0,2,0
33,50530.86,711,5,1,0,0
36,58904.38,685,15,1,0,0
34,52395.65,703,14,0,2,0
29,146679.02,585,6,1,0,1
18,39527.03,677,7,0,0,0
34,109393.31,616,11,0,0,0
44,52404.7,762,14,0,0,0
34,114359.18,734,3,1,2,0
63,26569.28,734,2,0,1,0
40,53762.21,817,9,0,0,0
55,40261.73,653,2,0,1,0
43,52561.34,636,0,2,1,1
49,90326.68,651,3,1,1,1
43,59243.11,551,10,1,1,1
56,90236.69,558,15,0,0,0
40,35062.57,729,4,0,2,0
45,32486.59,568,7,0,0,1
44,49417.14,594,8,1,2,0
36,48082.52,671,4,0,0,0
44,44670.58,647,4,1,1,0
66,30354.02,750,9,0,0,0
36,89261.52,684,2,0,2,0
45,40887.57,616,4,1,0,1
55,100011.36,757,6,0,2,0
53,49334.14,738,9,0,1,0
40,67793.02,567,0,1,0,1
18,64786.65,700,7,1,0,0
46,32463.21,622,1,0,2,0
18,58900.3,620,4,1,1,1
57,128561.99,829,11,0,2,0
42,55592.64,689,7,3,1,0
51,76929.01,662,16,1,1,0
29,69330.2,686,7,0,0,0
21,57155.15,749,12,1,1,0
43,53811.33,623,11,0,2,0
39,64450.82,637,7,1,1,0
34,71800.11,732,1,0,2,0
41,24932.26,558,7,0,0,0
73,55472.99,759,5,1,1,0
50,44710.38,551,5,0,1,0
52,40305.23,660,8,1,0,1
50,93712.06,552,0,0,1,1
57,33976.58,595,3,2,1,1
37,24406.76,783,2,1,2,0
18,72973.97,763,6,0,1,0
37,24096.05,772,4,0,0,0
49,18695.32,564,4,1,2,1
28,77198.39,595,8,1,0,0
37,53069.68,707,5,0,1,1
31,62091.22,737,8,0,1,0
58,39292.39,616,2,0,0,0
48,24533.55,633,3,0,0,0
47,27095.05,589,18,0,1,0
47,42783.4,812,4,1,2,0
39,25946.67,642,0,1,2,0
42,57155.25,682,9,1,2,0
25,38900.84,686,4,0,0,0
18,53772.53,768,9,0,0,1
41,52974.93,603,7,1,0,0
43,59480.26,773,10,0,2,0
54,62927.67,577,7,0,0,0
58,41276.55,773,6,0,1,0
58,53743.86,542,13,0,2,0
28,55160.59,671,0,1,1,0
35,14553.04,810,1,0,0,0
45,67728.54,735,3,0,0,0
70,52837.22,713,0,0,1,0
57,64992.32,596,5,0,0,0
53,25760.0,621,5,0,1,0
35,41861.15,787,12,0,0,0
29,28402.58,717,7,0,2,0
49,71132.58,751,6,0,2,0
26,24280.81,685,6,1,1,0
37,30812.4,657,2,0,0,0
38,64033.21,741,12,0,0,0
59,35786.03,700,14,1,0,0
35,30816.47,666,1,2,2,1
18,77138.65,566,16,0,0,0
46,78736.01,756,4,0,0,1
31,70335.76,715,4,0,1,0
40,74933.39,631,10,0,2,0
38,43660.99,774,10,3,0,0
36,44254.11,699,7,2,1,0
49,35452.87,701,6,2,2,0
21,53309.22,750,13,2,0,0
33,37648.59,733,4,0,1,0
48,39476.74,703,7,0,0,0
32,66167.87,664,16,1,1,0
20,88633.89,838,1,0,0,0
48,59822.08,621,5,0,0,0
53,120229.53,739,13,0,1,0
39,34449.24,673,10,0,0,0
18,19555.52,716,12,0,1,0
48,70074.48,778,1,1,0,0
20,33325.67,655,9,2,1,1
43,42751.26,728,6,0,0,0
29,20233.64,701,19,0,1,0
26,31269.39,628,12,2,0,0
34,23130.01,780,7,1,1,0
37,39452.33,736,9,2,0,0
32,40244.32,645,8,2,0,0
47,51276.11,768,11,0,0,0
34,91113.52,613,3,2,1,1
51,68765.2,677,14,0,0,0
43,21783.65,645,1,0,1,1
31,66436.89,740,9,1,0,0
29,51837.93,641,3,1,2,0
20,46680.73,740,8,0,0,0
43,48467.57,727,12,0,0,0
35,54299.82,649,0,1,1,0
18,34684.79,826,7,0,0,0
33,44749.01,620,0,0,1,0
29,88607.3,567,6,0,1,0
58,34476.98,748,0,1,1,0
19,29291.6,508,8,1,0,1
22,47531.42,799,5,0,0,0
53,27853.58,688,11,1,0,1
56,20714.9,565,14,0,0,0
31,41264.85,604,8,0,1,0
32,101145.05,549,12,1,1,1
47,48083.67,710,14,0,2,0
18,53599.15,573,3,1,1,1
18,16897.58,720,15,2,1,1
36,61026.46,655,7,1,1,0
58,51363.49,641,3,0,0,0
34,35155.72,720,9,0,0,1
41,53638.65,729,7,1,0,0
53,53373.03,771,0,0,0,0
65,28861.28,629,2,3,2,0
33,57868.41,677,16,1,1,0
39,89193.88,629,9,0,0,0
61,43740.48,693,15,0,0,0
21,31767.62,617,5,1,1,1
52,44855.88,646,3,0,1,1
27,75154.9,646,0,0,0,0
41,26551.47,703,12,1,1,1
37,65465.54,680,10,0,1,0
28,34926.21,720,5,1,0,0
28,55327.84,671,4,0,1,0
43,36968.98,633,13,0,2,1
51,36919.37,695,7,0,1,0
38,104982.34,606,7,2,1,1
40,24232.66,725,4,2,0,1
46,62485.08,657,5,2,1,0
28,116501.82,696,10,0,1,0
48,69062.07,697,0,0,0,0
49,25196.28,808,8,2,0,0
71,25827.88,710,12,2,1,0
35,33664.1,685,7,0,1,0
34,53048.08,624,13,0,1,0
49,54883.68,744,14,0,1,0
49,25955.84,658,12,0,1,0
33,31685.72,557,5,0,2,1
35,32671.51,664,7,0,1,0
46,44784.91,695,9,1,0,0
30,132236.56,614,5,0,0,0
35,30742.66,670,5,0,0,0
41,30077.15,674,5,0,0,0
51,27817.76,675,20,1,0,0
32,67357.69,778,6,0,1,0
18,48017.9,575,13,0,2,0
18,31316.07,842,3,0,1,0
24,40888.42,677,16,2,2,0
24,32999.41,726,6,0,0,0
38,56837.16,690,8,2,0,0
25,187622.7,541,0,2,0,1
31,64565.29,595,13,2,1,1
30,46793.79,638,14,3,0,0
34,35154.65,759,2,1,0,0
55,25041.76,569,13,0,0,0
47,70745.55,611,1,0,1,0
40,68849.42,693,11,0,2,0
34,38830.04,717,6,0,0,0
34,89919.22,715,14,2,0,0
43,49540.88,601,9,1,0,1
47,72213.36,552,12,0,1,0
29,56845.85,723,14,1,0,0
40,44865.84,794,6,0,0,0
18,30410.94,652,7,0,0,0
42,45580.34,588,2,3,0,1
49,74684.31,645,6,1,0,1
36,38022.46,711,17,0,1,0
61,61075.78,661,11,0,1,0
29,28527.74,792,2,0,2,0
42,72404.89,753,16,2,0,0
39,57323.77,694,9,1,1,0
38,26874.81,523,12,1,1,0
38,43826.45,624,10,0,0,0
41,78098.06,636,10,0,0,0
50,26120.71,620,0,1,0,0
56,28696.34,695,13,1,2,0
39,47346.66,696,0,1,2,0
49,142438.47,546,13,0,0,0
31,35021.27,744,8,2,1,0
49,62795.39,681,12,2,0,0
30,55830.06,708,8,0,1,0
53,36506.3,739,13,2,0,0
66,53133.7,618,8,2,0,0
38,39186.31,780,9,0,1,0
18,40990.58,668,10,1,0,1
33,21361.9,801,17,0,0,0
54,48425.5,608,11,2,2,0
46,76845.08,795,1,0,0,0
42,50448.73,607,5,1,0,0
52,84563.15,850,10,0,0,0
45,65523.47,603,14,2,1,0
54,47582.93,764,4,1,0,0
51,35811.96,651,19,0,2,0
58,38440.55,737,8,1,0,0
44,23499.74,676,10,1,1,0
50,42892.86,592,1,0,0,0
36,52733.14,456,13,0,0,1
32,115579.11,850,5,0,0,0
60,63841.59,685,4,1,0,0
42,31811.18,444,6,1,1,0
49,23868.52,704,14,0,1,0
41,44210.78,735,10,0,2,0
32,73561.88,622,3,1,1,0
40,43900.98,623,5,1,0,1
57,64279.25,678,15,1,0,0
46,44776.43,776,6,0,0,0
19,70157.66,687,10,0,0,0
37,22056.68,797,12,0,1,0
61,109326.17,770,0,0,1,0
37,28106.56,661,14,0,1,0
18,72901.62,554,3,1,0,0
62,42783.51,661,6,0,0,0
48,46262.46,722,15,0,2,0
39,43453.6,684,15,0,0,0
35,55703.72,730,10,0,2,0
52,61621.26,749,11,0,0,1
33,83214.82,722,12,0,0,0
53,99108.89,657,15,1,1,0
46,57867.48,721,15,1,0,0
42,115478.21,850,8,1,2,0
41,51353.39,560,4,1,0,0
37,84012.44,718,6,1,0,0
52,60740.13,826,8,1,0,0
29,37249.64,586,7,0,0,0
20,53670.41,760,2,0,1,0
47,63043.86,770,10,0,0,0
47,48237.93,561,0,0,1,0
45,60260.27,736,8,1,0,0
44,75559.94,658,8,1,2,1
36,48451.25,675,8,1,1,0
49,11249.24,654,12,0,2,0
39,113452.0,785,11,1,0,0
34,42243.44,671,19,0,1,0
36,32479.35,642,5,2,1,1
64,27943.64,644,9,0,0,0
19,41430.68,652,9,1,0,1
45,36998.26,593,8,2,1,1
19,33911.02,642,1,0,0,0
38,34854.48,689,2,1,0,1
34,63887.02,712,8,0,1,0
18,135290.79,776,0,1,0,1
44,73886.53,699,6,0,0,0
35,85930.93,642,4,0,0,0
18,40590.73,599,6,1,0,0
50,51654.5,703,13,0,2,0
57,60672.22,670,2,0,2,0
57,35250.01,673,12,0,0,0
44,39621.81,701,5,0,0,0
40,75152.6,721,5,1,2,0
55,84554.06,701,10,1,1,0
60,50701.21,666,6,2,0,1
53,26968.41,615,3,3,2,0
28,42285.69,630,6,1,2,0
42,23845.11,747,0,0,0,0
45,50899.13,646,9,2,2,0
18,55698.11,572,0,0,1,1
45,42815.04,772,12,1,2,1
67,55318.11,604,11,0,0,0
47,60382.26,682,16,0,0,0
57,55738.76,719,18,0,1,0
42,26882.61,680,12,0,0,0
39,43190.15,481,4,1,1,1
44,60169.54,711,18,1,1,0
30,107942.71,786,2,1,0,0
28,42789.03,742,0,1,2,0
55,64564.51,510,17,1,0,1
56,76044.65,850,11,1,2,0
28,44430.71,573,0,0,1,1
51,87047.03,593,1,1,0,1
38,89418.86,742,10,0,2,0
44,97752.34,716,3,1,0,0
45,61649.23,686,4,1,0,0
51,159542.98,634,17,0,0,0
40,36039.05,786,18,0,1,0
56,141780.99,676,8,0,1,0
43,71980.44,554,7,2,1,0
47,95816.83,778,12,1,0,1
30,41771.98,697,5,1,2,0
65,74774.89,769,0,0,1,0
45,100056.18,725,0,0,1,0
48,28461.87,850,7,1,1,0
20,45176.71,655,12,0,0,0
30,16804.02,681,8,1,1,1
54,44839.0,737,12,0,0,0
43,32597.66,655,12,0,0,0
18,43963.55,744,14,1,0,0
52,211466.46,444,8,1,2,1
33,115716.87,674,9,1,1,0
56,23867.58,671,7,1,0,0
38,64722.82,668,6,0,0,0
42,73091.37,609,0,1,0,1
54,41400.63,752,13,1,0,0
29,53591.93,639,6,0,1,1
28,56274.18,696,5,0,1,1
37,25001.58,677,5,2,0,1
49,29270.5,720,1,2,0,1
24,53431.11,794,7,0,1,0
19,51518.76,695,10,2,0,1
49,34396.79,747,4,1,1,0
32,32952.15,691,13,0,1,0
35,46868.94,639,6,0,1,0
18,76349.4,668,0,1,1,1
31,47181.5,657,14,0,2,0
39,110344.81,725,8,1,1,0
51,34616.64,688,12,0,1,0
30,53990.04,616,12,0,1,0
59,41062.57,662,3,0,0,0
31,65774.04,557,5,0,0,0
31,33163.53,665,13,0,0,0
58,128501.89,680,17,0,1,0
42,21050.8,824,8,0,1,0
33,115582.53,787,4,1,0,0
38,51276.83,597,16,0,0,0
56,64615.67,696,4,1,0,0
57,95536.39,697,9,0,0,0
30,75269.53,661,5,1,1,0
39,34029.62,666,9,1,0,1
41,66174.12,651,3,3,0,0
28,124708.84,829,6,1,1,0
39,31456.29,646,4,0,2,0
40,141381.09,707,11,1,2,0
53,59447.64,477,8,0,0,1
54,39473.55,745,12,1,0,0
36,31362.1,774,3,1,2,0
37,43842.39,595,6,1,2,1
47,18441.54,639,11,1,1,0
32,39830.08,716,12,1,1,0
47,42981.99,681,0,0,1,0
38,28646.69,717,9,1,1,0
28,71248.04,657,3,0,1,0
28,43941.6,829,12,1,1,0
57,35671.34,626,17,2,1,0
38,41661.51,850,0,0,2,0
59,58545.16,779,4,0,2,0
33,50848.74,746,9,1,0,0
43,34527.54,596,7,1,2,0
68,52199.42,752,12,1,0,0
27,47794.32,728,8,1,0,0
18,27729.94,510,5,0,0,1
55,42435.8,567,2,0,0,0
30,65491.07,708,2,1,0,0
39,65255.73,669,4,1,2,0
32,43696.26,638,5,0,0,1
43,68760.61,766,9,0,2,0
28,30032.1,609,7,0,0,0
37,30500.74,643,4,0,0,0
45,43233.57,628,2,1,0,0
27,103650.82,720,4,0,1,0
31,53190.01,542,5,0,2,1
35,42715.5,640,4,0,0,0
22,106092.75,542,11,0,0,0
34,42469.05,654,14,1,2,0
41,149846.49,737,2,1,1,0
35,37962.66,739,13,0,0,0
36,29558.77,621,11,1,0,0
39,45108.19,722,8,0,1,0
32,43280.52,665,15,0,0,0
48,32733.03,788,7,1,1,0
57,180049.49,669,10,2,1,0
34,57486.95,442,8,0,0,0
45,61828.81,751,8,1,1,0
37,38912.09,643,10,0,2,0
44,36723.25,658,8,0,0,0
58,81861.1,706,10,0,0,0
46,21206.84,566,4,1,1,0
18,27682.83,685,4,1,1,1
45,43318.96,722,4,0,0,0
54,96328.9,709,6,1,2,1
37,40649.49,632,13,1,0,1
51,60359.63,759,5,1,0,1
31,49705.18,600,11,1,0,0
22,93725.84,629,9,0,1,0
41,22195.36,669,5,2,0,0
18,70826.01,703,14,0,1,0
37,44380.28,654,11,0,2,0
55,77842.44,778,8,1,0,0
18,32544.35,703,7,1,0,0
24,49622.35,686,8,1,2,0
27,46571.62,700,0,0,0,0
39,29696.43,738,3,0,0,0
35,25842.96,699,10,2,1,1
56,36672.94,535,0,1,1,0
51,52311.19,767,4,1,0,0
45,33575.23,689,6,0,2,0
41,41562.9,734,22,0,1,0
44,19093.46,647,11,2,0,0
29,40728.16,533,13,2,0,1
50,81780.44,497,3,1,1,1
26,69744.24,604,9,0,0,0
50,46935.94,721,0,1,0,0
54,55371.84,783,6,1,0,0
42,32398.58,704,10,1,1,0
37,110439.08,595,0,0,0,1
44,137844.46,617,9,0,0,0
18,53231.83,788,10,0,1,0
43,179036.13,575,4,0,2,0
38,34888.37,848,3,0,0,0
39,26224.79,830,4,0,1,0
48,34378.55,850,6,0,0,0
39,43925.7,710,6,0,0,0
26,155754.02,652,10,1,0,0
38,42591.95,708,5,0,1,0
40,31893.97,752,16,1,0,0
41,31281.14,627,15,1,2,0
41,86682.83,591,9,1,0,1
52,80712.67,657,6,0,1,1
26,38455.65,618,5,3,1,1
42,19189.3,779,9,0,1,0
55,27881.07,630,10,1,2,0
19,115916.1,687,6,2,2,0
42,69175.63,758,6,0,1,0
32,50651.83,782,9,0,0,0
35,124793.62,696,8,0,1,0
29,130504.52,710,5,0,2,0
37,48147.77,598,8,1,0,0
62,48592.0,761,4,0,0,0
24,36642.96,781,4,0,0,0
25,42518.66,530,7,0,1,0
24,23314.66,821,5,0,0,0
60,23267.36,623,4,1,0,0
34,20716.19,727,13,1,0,0
39,84302.64,686,6,1,1,0
35,22455.68,675,17,0,0,0
28,129959.89,663,11,0,2,0
37,34023.65,600,3,1,1,1
69,116853.34,721,13,0,0,0
56,40842.27,657,4,0,1,0
29,22402.02,575,17,1,0,1
47,93142.83,597,9,0,1,0
30,98807.9,576,10,1,2,0
18,31162.62,638,8,0,1,0
52,41530.11,718,9,0,0,0
53,31166.59,623,6,2,0,0
52,46153.9,758,3,1,1,0
34,51736.28,670,9,0,0,0
37,41122.41,656,13,1,1,0
48,19743.0,681,2,1,0,1
44,36664.36,791,15,2,1,0
35,69686.33,570,11,2,0,0
20,44158.92,812,5,0,1,0
41,41617.65,756,5,0,0,0
52,30779.73,678,17,0,0,0
25,36133.45,774,12,0,0,0
47,99158.42,654,13,0,1,0
43,27725.6,702,6,2,2,0
49,70291.88,636,10,1,0,1
50,50187.82,757,9,1,2,0
31,55403.9,623,7,1,0,0
20,33990.01,675,8,2,2,0
33,41114.3,734,13,0,0,0
50,48880.8,763,15,0,1,0
33,37784.96,614,6,0,1,0
31,57856.21,740,1,0,0,0
18,61618.63,601,16,1,2,0
61,145270.57,507,16,0,2,1
49,56336.34,620,10,1,0,1
49,18842.66,746,16,0,0,0
51,87685.3,679,9,1,0,0
46,44270.1,637,3,0,0,0
37,134049.27,684,1,0,1,0
38,102279.26,681,1,1,0,0
34,38077.02,729,8,0,0,0
71,70329.84,551,5,0,0,1
46,36425.43,671,5,2,2,0
34,49086.8,689,7,0,0,0
45,68733.53,570,12,1,1,0
27,85519.53,569,5,2,1,1
58,76695.85,650,4,2,0,0
32,50893.72,680,5,0,1,0
46,169687.19,680,12,1,0,0
52,40842.96,635,7,0,1,0
44,21947.31,632,9,0,0,0
41,24164.75,648,15,0,0,0
40,102437.06,703,22,1,2,0
39,47177.56,779,11,0,0,0
33,53078.58,502,10,0,0,1
34,37374.28,729,2,1,0,1
57,39091.05,671,9,2,1,1
38,33072.32,722,8,1,1,0
30,62042.53,774,12,0,0,0
33,46691.16,619,6,0,1,1
53,60931.32,755,9,2,1,0
48,58088.28,579,11,0,1,0
46,39618.86,690,17,1,1,0
36,23638.56,660,15,0,0,0
46,22631.55,683,14,0,0,0
32,222643.21,600,11,1,1,0
36,102650.65,714,5,0,1,0
51,95807.02,806,11,0,1,0
50,34985.77,602,4,0,2,0
28,49254.44,695,6,0,1,0
29,32608.18,748,16,0,0,0
41,25436.97,656,10,1,1,0
60,36519.92,788,9,0,0,0
18,95138.83,645,9,1,0,1
43,74635.59,670,7,0,0,0
23,30181.25,600,0,0,1,0
32,41881.19,690,1,0,1,0
35,71293.58,680,11,2,2,0
34,36846.44,730,3,0,0,0
33,51010.82,629,7,0,0,1
40,59929.47,625,1,2,0,1
33,59603.24,716,4,0,2,0
22,55663.1,791,7,0,0,0
49,35353.46,730,12,0,0,0
49,37216.69,827,13,0,0,0
50,27810.67,724,4,1,1,0
21,22456.42,721,9,1,0,1
43,46287.43,734,0,0,0,0
48,73727.4,799,8,1,1,0
27,24584.19,779,12,0,1,0
40,56189.58,593,7,0,1,0
38,72570.63,744,14,0,0,0
62,19567.65,701,12,0,0,0
63,42817.81,664,9,3,0,0
20,111647.86,538,6,0,2,0
69,64600.05,556,5,1,0,1
29,19240.48,650,0,0,0,0
51,68129.78,562,1,0,0,1
51,33729.62,652,12,1,0,1
28,69262.12,737,15,0,0,0
45,34716.11,633,2,1,1,0
38,47738.04,686,8,0,2,0
46,37467.48,594,0,0,0,0
42,49098.26,703,3,1,1,0
54,36914.51,720,9,1,0,0
40,43836.89,566,5,0,0,1
37,27233.35,619,0,1,0,0
53,62650.68,578,16,0,0,0
46,53511.0,720,7,0,0,0
48,21845.14,693,2,0,1,0
32,80535.9,676,8,0,1,0
27,44884.87,669,7,0,2,1
33,53150.42,705,10,0,0,0
32,71846.04,707,6,2,1,1
49,57764.01,640,9,1,1,0
51,87781.11,629,12,2,0,0
38,42334.27,675,1,0,1,0
57,82225.0,664,4,1,1,0
56,52128.25,844,12,0,0,0
42,63184.65,649,5,1,1,0
30,59982.89,703,7,0,1,0
58,91159.42,717,5,1,0,0
39,70312.59,792,5,0,2,0
41,39282.22,615,5,1,0,0
35,35573.86,787,1,1,2,0
29,47816.35,668,10,0,1,0
22,33521.73,850,13,0,0,1
47,28966.75,709,7,0,0,0
30,16915.3,581,12,0,1,0
76,22592.39,664,5,1,0,1
26,132283.57,786,5,2,0,0
24,35303.94,686,10,1,1,1
46,126973.05,675,10,2,2,0
58,59968.66,737,7,1,0,0
40,47816.26,652,11,1,0,0
46,23148.78,663,1,0,1,1
18,49135.37,604,6,2,1,1
31,126259.16,818,12,0,0,0
27,106811.23,582,12,0,1,0
18,56225.14,693,12,1,0,0
41,27602.62,718,13,1,0,0
18,30376.28,678,6,0,0,0
24,32006.81,579,0,0,1,1
33,92881.29,600,6,1,0,0
30,110841.91,721,11,1,1,0
44,54065.22,617,11,0,0,0
43,42127.66,514,5,0,0,1
50,106335.58,710,3,0,2,0
49,30052.86,610,3,0,1,0
53,50307.61,730,5,0,1,0
39,61789.15,663,0,1,1,1
43,31843.85,660,5,1,1,0
46,35669.2,684,8,0,0,1
41,34307.91,588,7,0,1,0
35,99544.84,613,6,0,0,0
36,127667.39,659,4,0,2,0
30,51916.72,588,5,1,0,1
45,42868.42,737,5,0,1,0
38,36318.39,655,11,1,0,0
32,49063.62,564,7,1,0,0
32,37230.71,635,23,0,0,0
25,46699.32,688,6,0,0,0
51,60271.61,644,10,1,1,0
40,40028.36,711,6,0,1,0
29,44587.37,725,6,0,0,0
49,44679.62,850,15,0,0,0
33,41823.69,772,12,3,1,0
23,39311.64,549,0,2,0,1
52,71761.13,651,2,1,1,1
33,20224.14,658,7,0,1,0
35,107703.78,726,5,1,1,0
40,52457.82,605,0,0,2,0
